id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
38,,WLFIUSDT,LONG,CLOSED,0.06420000000000001,0.0643,0.0644,256.14530622171924,20.0,5122.906124434385,79796.04555193745,STRONG_BUY,0.2005,0.0647,62.96,17.972,16.9524,0.25,0.2507,BULLISH,0.0746,0.0868,32.4487,31.8905,74.7,74.1,0.7407,0.4753,71.7,17.4,88.9,1.0196,1.0,BULL_EXHAUSTED,BULL_EXHAUSTED,21.043867194456332,11.028638254939796,0.4167,0.1056,0.0001,0.9221231023981893,2.30889857804531,3.231021680443499,4.748582874749367,0.09269314641742832,0.24838629283487826,-0.5300794392523498,0.0644,,0.0,0.3747,0.1335,2026-05-05T13:08:27.312931,2026-05-05T13:02:16.842366,-0.2942,RECOVERED,2,0.4,,True,,False,,,,1.0,,False,0.2198,0.1335,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T12:48:06.299803,-0.2187,2026-05-05T12:48:23.484738,-0.3744,,,,,,,2026-05-05T12:40:41,2026-05-05T13:08:29.414117,TRAILING_STOP L2,MAKER,TAKER,True,
37,,ZBTUSDT,LONG,CLOSED,0.18967,0.19027,0.1903,254.53253033152532,20.0,5090.650606630506,26839.51392750834,STRONG_BUY,0.051,0.0261,55.54,17.2561,17.2263,0.1727,0.173,BULLISH,0.0487,0.0834,32.4487,31.8905,71.6,74.1,0.5594,0.6539,71.7,21.7,53.4,0.0298,2.0,BULL_EXHAUSTED,BULL_EXHAUSTED,24.798332390157917,17.360123755849536,0.408,-0.0258,0.0001,2.290792772983728,2.298039441744155,4.5888322147278835,11.514876141776835,0.22619655190593632,0.3790248853271481,-0.14796936784942216,0.19056,,0.0,0.3474,0.254,2026-05-05T12:51:46.385728,,,NEVER,2,0.4,,True,,False,,,,1.0,,False,0.199,0.2505,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T12:48:07.308860,-0.0162,2026-05-05T12:48:23.481717,0.0839,,,-0.0953,4.72,,,2026-05-05T12:37:06,2026-05-05T12:53:14.702213,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
36,,ADAUSDT,LONG,CLOSED,0.2587,0.2591,0.2592,254.53253033152532,20.0,5090.650606630506,19677.814482529982,STRONG_BUY,0.0636,0.0222,58.55,20.4967,20.0239,0.0814,0.0815,BULLISH,0.0305,0.0775,31.9265,30.4657,74.0,73.4,0.7449,0.6171,67.4,21.7,78.9,0.4728,3.0,BULL_EXHAUSTED,BULL_EXHAUSTED,29.904391846968924,17.321929803362714,0.2056,0.1653,0.0001,0.9163171091934912,2.2943347795905833,3.2106518887840743,4.6604739042281444,0.09154967143409798,0.2460993428681959,-0.10163741785851911,0.2595,,0.0,0.2196,0.0834,2026-05-05T13:06:18.331763,,,RECOVERED,2,0.4,,True,,False,,,,1.0,,False,0.0656,0.0834,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T12:48:06.297266,-0.063,2026-05-05T12:48:23.479613,-0.0244,,,-0.0244,13.35,,,2026-05-05T12:35:37,2026-05-05T13:06:50.907519,TRAILING_STOP L2,MAKER,TAKER,True,
35,,WLFIUSDT,LONG,CLOSED,0.0641,0.0642,0.0643,258.4473364036013,20.0,5168.9467280720255,80638.79450970398,STRONG_BUY,0.2242,0.0754,62.3,15.7409,14.8869,0.1544,0.1546,BULLISH,0.0985,0.0489,28.2202,27.6106,68.2,62.4,0.7828,0.7015,54.3,28.3,69.2,0.854,1.0,STRONG_BULL,BULL_EXHAUSTED,22.4961396739467,12.974872326703274,0.4604,0.0601,-3.2e-05,0.9304104110529646,2.329654773385348,3.2600651844383126,4.803814266531196,0.09293603744148045,0.24887207488298257,-0.37487207488300417,0.0643,,0.0,0.4269,-0.036,2026-05-05T12:40:02.227151,2026-05-05T12:16:35.736700,-0.1922,RECOVERED,2,0.4,,True,,False,,,,2.0,BTC_65-70_25-30,True,0.2718,-0.036,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2189,3.41,,,2026-05-05T12:12:56,2026-05-05T12:40:04.834612,TRAILING_STOP L2,MAKER,TAKER,True,
33,,ORCAUSDT,LONG,CLOSED,1.696,1.7,1.701,246.8055644935292,20.0,4936.111289870584,2910.4429775180333,STRONG_BUY,0.3787,0.1275,59.26,16.79,15.7667,0.2192,0.2197,BULLISH,0.1722,0.0457,24.2489,23.0026,65.6,64.2,0.396,0.7679,47.8,32.6,77.4,1.0234,4.0,HEALTHY_BULL,HEALTHY_BULL,22.884487057999607,12.297042711386903,0.519,0.0295,-3.2e-05,0.8885000321767053,2.2264888778012955,3.114988909978001,8.526783000094143,0.17274292452830212,0.3495501179245352,-0.5934215801886732,1.703,,0.0,0.5299,0.0476,2026-05-05T12:03:26.203580,2026-05-05T11:53:28.746048,-0.3228,RECOVERED,2,0.4,,True,,False,,,,1.0,,False,0.3543,0.0476,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2398,19.29,-0.4166,20.44,2026-05-05T11:31:00,2026-05-05T12:03:30.382432,TRAILING_STOP L2,MAKER,TAKER,True,
32,,BTCUSDT,LONG,CLOSED,80899.9,81121.1,81130.1,493.6111289870584,20.0,9872.222579741168,0.12203009620211111,STRONG_BUY,0.1081,0.0349,64.59,21.5015,21.0768,0.0475,0.0475,BULLISH,0.0484,0.0485,21.5015,21.0768,64.6,69.3,0.3622,1.8413,45.7,37.0,85.3,0.4247,2.0,HEALTHY_BULL,BULL_EXHAUSTED,28.550202314504215,16.402929873855815,0.0861,0.0277,-3.2e-05,4.442500160883526,4.454647036659484,8.89714719754301,18.09591008236539,0.18330127725746465,0.33391350916380097,-0.24641926627843952,81243.0,,0.0,0.1614,0.1338,2026-05-05T12:34:12.208400,2026-05-05T11:22:42.242369,-0.0504,RECOVERED,2,0.4,,True,,False,,,,2.0,BTC_60-65_20-25,False,0.0078,0.1374,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2265,4.56,-0.167,35.16,2026-05-05T11:16:17,2026-05-05T12:35:32.663284,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
31,,LINKUSDT,SHORT,CLOSED,9.52,9.611,9.611,256.6174065070335,20.0,5132.34813014067,539.112198544188,STRONG_BUY,0.251,0.1046,29.15,24.3311,23.5738,0.2384,-0.2378,BEARISH,-0.1221,-0.052,27.6079,26.4388,33.0,34.8,1.1209,1.1847,32.6,54.3,1.8,0.7573,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,17.225371829607877,35.112563439413144,0.1832,0.0738,-3.2e-05,0.9238226634253207,2.331633303093686,3.255455966519007,-52.3146660340407,-1.0193125000000116,0.08412499999999312,-1.0193125000000116,,9.506,0.0,0.3755,-0.2976,2026-05-05T09:14:45.676965,2026-05-05T09:50:29.811684,-0.3567,ENDED_NEG,1,0.2,,False,,False,,,,1.0,,False,-0.3567,0.2185,True,-0.4622,-1.8067,44.14,12.06,0.0,-1.0189,-1.7752,0.0,0.0,-1.0189,9.98,-0.9559,,,,,,,,,,,,,,,,,,,,,,True,-0.5569,2026-05-05T09:29:59.933070,SIGNAL_LOST,True,2026-05-05T09:46:38.394918,-0.8091,,,,,,,-0.2942,2.27,-0.2732,3.39,2026-05-05T09:14:14,2026-05-05T09:50:29.888385,FL_DEEP_STOP L1,MAKER,TAKER,True,
30,,ZBTUSDT,LONG,CLOSED,0.1922,0.1925,0.19253,259.8077638302936,20.0,5196.155276605872,27035.147120738147,STRONG_BUY,0.2521,0.1149,57.9,17.1414,16.8515,0.1691,0.1694,BULLISH,0.1401,0.0355,34.622,33.6909,59.9,59.8,1.3835,0.8987,80.4,15.2,81.3,0.2898,4.0,STRONG_BULL,STRONG_BULL,25.468440543351043,16.65973129463029,0.4539,-0.3794,0.000506,0.9353079497890571,2.341919619333942,3.2772275691229993,4.8333165670983025,0.09301716961498165,0.24383376690945863,-0.20861602497398668,0.19279,,0.0,0.2835,0.1726,2026-05-05T07:42:00.037165,2026-05-05T07:34:02.112280,-0.0388,RECOVERED,2,0.4,,True,,False,,,,1.0,,False,0.1333,0.1726,True,0.2596,-2.1494,3.23,38.64,4.95,-0.3179,-1.936,0.2596,8.36,-0.6145,10.61,-0.7498,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-05T07:29:53,2026-05-05T07:42:16.116997,TRAILING_STOP L2,MAKER,TAKER,True,
29,,NEARUSDT,LONG,CLOSED,1.278,1.273,1.273,258.51518789083946,20.0,5170.30375781679,4045.6210937533565,STRONG_BUY,0.087,0.0343,58.28,19.2513,19.1443,0.1229,0.1231,BULLISH,0.0306,0.0322,33.2806,32.6728,59.1,56.8,0.924,0.8471,76.1,21.7,87.5,0.1069,2.0,STRONG_BULL,STRONG_BEAR,21.25912604030947,13.984347314201798,0.2421,0.0865,0.000506,2.3266366910175553,2.31753404355661,4.644170734574166,-24.872276203341414,-0.48106025039124534,0.06642410015649468,-0.559272300469484,1.28,,0.0,0.2649,0.0923,2026-05-05T07:39:48.947962,2026-05-05T07:54:57.534562,-0.2617,ENDED_NEG,1,0.2,,False,,False,,,,1.0,,False,-0.1829,-0.1788,True,-0.09,-0.6377,11.44,1.69,0.0,-0.4812,-0.6377,0.0,0.0,-0.4812,24.36,-0.4812,,,,,,,,,,,,,,,,,,,,,,True,-0.5593,2026-05-05T07:54:57.639942,SIGNAL_LOST,False,,,2026-05-05T07:47:46.103229,-0.2464,2026-05-05T07:48:56.505752,-0.2464,2026-05-05T07:55:42.363545,-0.4811,-0.3246,23.06,-0.1682,19.48,2026-05-05T07:24:10,2026-05-05T07:55:42.364333,FL_REGIME_CHANGE L1,TAKER_FALLBACK,TAKER,True,
28,,ETHUSDT,LONG,CLOSED,2383.75,2379.7,2379.7,258.51518789083946,20.0,5170.30375781679,2.1689790279252397,STRONG_BUY,0.0906,0.0456,61.03,17.1646,16.7242,0.1054,0.1056,BULLISH,0.0525,0.0322,33.2806,32.6728,59.1,56.8,0.924,0.6699,76.1,21.7,93.0,0.4404,1.0,STRONG_BULL,STRONG_BEAR,26.53751456064138,16.651615613223132,0.1597,0.0288,0.000506,2.3266366910175553,2.3226837267391613,4.649320417756717,-13.433685480854333,-0.259823911903521,0.06724436287362351,-0.3315273413738948,2387.5,,0.0,0.1863,0.1506,2026-05-05T07:36:55.551402,2026-05-05T07:46:28.314237,-0.267,ENDED_NEG,1,0.2,,True,,False,,,,1.0,,False,-0.1055,-0.0603,True,-0.111,-0.4986,19.54,45.0,0.56,-0.2784,-0.4986,0.0,0.01,-0.2599,2.82,-0.28,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T07:47:46.100615,-0.2271,2026-05-05T07:48:56.504248,-0.1688,2026-05-05T07:55:42.038782,-0.2598,-0.1852,7.19,-0.1156,22.1,2026-05-05T07:23:50,2026-05-05T07:55:42.039831,REGIME_CHANGE L1,TAKER_FALLBACK,TAKER,True,
27,,UNIUSDT,LONG,CLOSED,3.344,3.348,3.349,258.51518789083946,20.0,5170.30375781679,1546.1434682466477,STRONG_BUY,0.1742,0.0651,64.44,18.3424,17.7784,0.1349,0.1351,BULLISH,0.0792,0.0284,33.0285,32.6728,56.8,56.8,0.7036,0.4886,73.9,21.7,100.0,0.5641,1.0,STRONG_BULL,STRONG_BULL,26.30582884707731,15.557398471208932,0.1976,0.1134,0.000506,2.3266366910175553,2.329419749260399,4.656056440277954,1.5285174327086422,0.029563397129186725,0.2089084928229734,-0.1497816985645867,3.354,,0.0,0.2728,0.2199,2026-05-05T07:40:11.784392,2026-05-05T07:29:41.246361,0.05,NEVER,2,0.4,,True,,False,,,,1.0,,False,0.0163,0.2328,True,0.0894,-0.2993,1.05,12.98,21.28,-0.2096,-0.1797,0.0894,1.88,-0.0003,3.18,-0.1498,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-05T07:22:22,2026-05-05T07:44:02.530675,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
26,,ZBTUSDT,LONG,CLOSED,0.192,0.19224,0.19239,258.51518789083946,20.0,5170.30375781679,26928.66540529578,STRONG_BUY,0.2072,0.1091,56.05,16.7801,16.7195,0.1463,0.1465,BULLISH,0.1194,0.0284,33.0285,32.6728,56.8,56.8,0.7036,0.925,73.9,21.7,74.7,0.0607,2.0,STRONG_BULL,STRONG_BULL,25.252972951086623,17.705680294099153,0.4603,-0.3966,0.000506,0.9306546764070222,2.329544986881327,3.260199663288349,3.2026800339823747,0.06194374999999491,0.21291744791666808,-0.16191380208333112,0.19253,,0.0,0.3108,0.338,2026-05-05T07:28:25.798306,2026-05-05T07:22:40.112128,0.0214,NEVER,2,0.4,,True,,False,,,,1.0,,False,0.1154,0.383,False,0.3641,-0.8651,16.65,28.62,18.38,-0.214,-0.7922,0.3641,21.79,-0.5109,3.32,-0.0422,,,,,,,,,,2026-05-05T07:42:31.801463,0.1193,2026-05-05T07:42:36.884375,0.0724,2026-05-05T07:42:40.950728,0.036,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-05T07:22:02,2026-05-05T07:28:50.583685,TRAILING_STOP L2,MAKER,TAKER,True,
25,,BNBUSDT,LONG,CLOSED,628.26,628.11,628.11,258.51518789083946,20.0,5170.30375781679,8.229560624290563,STRONG_BUY,0.0587,0.0259,62.56,19.5229,19.0616,0.056,0.056,BULLISH,0.0311,0.0284,33.0285,32.6728,56.8,56.8,0.7036,0.8018,73.9,21.7,76.6,0.4613,1.0,STRONG_BULL,STRONG_BEAR,24.52888753615936,14.555019612955858,0.0869,0.0302,0.000506,2.3266366910175553,2.3260811956754157,4.652717886692971,-5.887151980336368,-0.1138647216120678,0.07228010696208287,-0.1138647216120678,629.28,,0.0,0.1043,0.0894,2026-05-05T07:39:36.462483,2026-05-05T07:55:36.725762,-0.0724,ENDED_NEG,1,0.2,,True,,False,,,,1.0,,False,-0.0724,-0.0284,True,0.0835,-0.1998,19.09,4.97,1.7,-0.1425,-0.0279,0.0,0.01,-0.1139,2.84,-0.1569,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T07:47:46.098590,-0.0311,2026-05-05T07:48:56.501424,-0.02,2026-05-05T07:55:41.636487,-0.1139,-0.0677,25.43,-0.0645,9.23,2026-05-05T07:21:48,2026-05-05T07:55:41.637470,REGIME_CHANGE L1,TAKER_FALLBACK,TAKER,True,
24,,LTCUSDT,LONG,CLOSED,55.139,55.15,55.15,253.7955817177554,20.0,5075.911634355108,92.05665018145247,STRONG_BUY,0.1196,0.0449,60.48,19.0616,17.7729,0.0769,0.0769,BULLISH,0.0587,0.0786,32.4697,30.7658,76.2,68.6,0.9683,0.494,65.2,30.4,83.3,1.2887,1.0,BULL_EXHAUSTED,CHOPPY_FLAT,27.032052465481943,12.77513203705429,0.154,0.0069,0.001173,0.9136640941839195,2.284615915878197,3.1982800100621165,-2.1856568580665368,-0.04305939534631444,0.1744744736030763,-0.31497673153303996,55.27,,0.0,0.178,0.129,2026-05-05T05:39:33.149891,,,RECOVERED,1,0.2,,True,,False,,,,1.0,,False,0.002,0.0343,True,0.0839,-0.3514,8.42,39.25,14.76,-0.1156,-0.17,0.0839,14.76,-0.1156,12.51,-0.0249,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-05T02:51:12.528187,-0.2787,2026-05-05T02:51:24.631517,-0.2606,,,-0.1518,6.85,-0.2062,7.97,2026-05-05T02:05:43,2026-05-05T06:05:43.940013,NO_EXPANSION,MAKER,TAKER,True,
23,,DOTUSDT,LONG,CLOSED,1.236,1.239,1.24,251.35523958585378,20.0,5027.104791717075,4067.2368865024882,VERY_STRONG,0.2226,0.0687,64.34,24.7652,22.9422,0.2184,0.2189,BULLISH,0.0841,0.0624,30.135,29.2263,69.9,67.7,1.477,0.8103,58.7,37.0,92.9,1.823,2.0,STRONG_BULL,BULL_EXHAUSTED,25.604814778636893,8.887967627189436,0.2939,0.0797,0.001173,0.9048788625090737,2.2676879260694625,3.172566788578536,9.029143870929392,0.1796092233009801,0.3413487055016275,-0.3864789644012948,1.241,,0.0,0.4728,0.177,2026-05-05T02:04:53.796490,2026-05-05T02:01:05.483558,-0.1785,RECOVERED,2,0.4,,True,,False,,,,1.0,,False,0.3122,0.177,True,0.5033,-0.3057,21.2,44.58,42.59,-0.063,-0.3057,0.5033,8.75,0.0179,15.54,-0.063,,,,,,,,2026-05-05T02:39:57.881099,0.1797,2026-05-05T02:06:25.985583,0.0988,2026-05-05T02:29:20.820806,0.1797,2026-05-05T02:06:25.985583,0.0988,,,2026-05-05T02:27:28.869408,0.2606,2026-05-05T02:27:27.853107,0.1797,False,,,,False,,,,,,,,,,,-0.2247,5.64,2026-05-05T01:54:22,2026-05-05T02:04:55.984993,TRAILING_STOP L2,MAKER,TAKER,True,
